,Three Months Ended,Three Months Ended,Three Months Ended,Nine Months Ended
,September 30,September 30,September 30,September 30
(dollars in millions),2011,2010,2011,2010
Foreign currency translation (loss) gain adjustments,(1494),1153,479,(2573)
Amortization of net actuarial losses and prior service cost and credits,28,4,81,1
Unrealized (loss) gains on marketable equity securities,(8),20,3,63
Net adjustments for derivative instruments designated as cash flow hedges,36,(30),(56),172
"Other comprehensive (loss) income, net of tax",(1438),1147,507,(2337)
Net Earnings,303,891,3110,3185
Comprehensive (Loss) Income,(1135),2038,3617,848
