,Units Outstanding,Financial Position (1)
,"(In millions, except unit data)",
"Redeemable noncontrolling interest ！ Preferred Unit at: December 31, 2019",638163,555
Distribution of in-kind additional Preferred Units,22531,！
Cash distributions to Altus Preferred Unit limited partners,！,(23)
Allocation of Altus Midstream LP net income,N/A,76
"Redeemable noncontrolling interest ！ Preferred Unit at: December 31, 2020",660694,608
Cash distributions to Altus Preferred Unit limited partners,！,(23)
Distributions payable to Altus Preferred Unit limited partners,！,(11)
Allocation of Altus Midstream LP net income,N/A,39
Accreted value adjustment,N/A,4
"Redeemable noncontrolling interest ！ Preferred Unit at: June 30, 2021",660694,617
Preferred Units embedded derivative,,125
,,742
